Team #,TeamName,TeamShortName,ImageFileName,TeamColor
1,Team 1,T1,001.png,D12E2EFF
2,Team 2,T2,002.png,1FE057FF
3,Team 3,T3,003.png,9D4BD8FF
4,Team 4,T4,004.png,E5D03EFF
5,Team 5,T5,005.png,68CADEFF
6,Team 6,T6,006.png,E95DA9FF
7,Team 7,T7,007.png,57D12EFF
8,Team 8,T8,008.png,271FE0FF
9,Team 9,T9,009.png,D87A4BFF
10,Team 10,T10,010.png,3EE5A6FF
11,Team 11,T11,011.png,D468DEFF
12,Team 12,T12,012.png,CCE95DFF
13,Team 13,T13,013.png,2E7FD1FF
14,Team 14,T14,014.png,E01F47FF
15,Team 15,T15,015.png,4BD857FF
16,Team 16,T16,016.png,7D3EE5FF
17,Team 17,T17,017.png,DEB768FF
18,Team 18,T18,018.png,5DE9E3FF
19,Team 19,T19,019.png,D12EA8FF
20,Team 20,T20,020.png,77E01FFF
21,Team 21,T21,021.png,4B62D8FF
22,Team 22,T22,022.png,E5533EFF
23,Team 23,T23,023.png,68DE9AFF
24,Team 24,T24,024.png,C15DE9FF
25,Team 25,T25,025.png,D1D12EFF
26,Team 26,T26,026.png,1FA7E0FF
27,Team 27,T27,027.png,D84B85FF
28,Team 28,T28,028.png,52E53EFF
29,Team 29,T29,029.png,7C68DEFF
30,Team 30,T30,030.png,E99E5DFF
31,Team 31,T31,031.png,2ED1A9FF
32,Team 32,T32,032.png,E01FD8FF
33,Team 33,T33,033.png,A8D84BFF
34,Team 34,T34,034.png,3E7CE5FF
35,Team 35,T35,035.png,DE6872FF
36,Team 36,T36,036.png,5DE97BFF
37,Team 37,T37,037.png,802ED1FF
38,Team 38,T38,038.png,E0B91FFF
39,Team 39,T39,039.png,4BCBD8FF
40,Team 40,T40,040.png,E53EA5FF
41,Team 41,T41,041.png,8FDE68FF
42,Team 42,T42,042.png,5D62E9FF
43,Team 43,T43,043.png,D1582EFF
44,Team 44,T44,044.png,1FE089FF
45,Team 45,T45,045.png,C14BD8FF
46,Team 46,T46,046.png,CFE53EFF
47,Team 47,T47,047.png,68ACDEFF
48,Team 48,T48,048.png,E95D85FF
49,Team 49,T49,049.png,2ED12FFF
50,Team 50,T50,050.png,581FE0FF
51,Team 51,T51,051.png,D89E4BFF
52,Team 52,T52,052.png,3EE5D1FF
53,Team 53,T53,053.png,DE68CAFF
54,Team 54,T54,054.png,A8E95DFF
55,Team 55,T55,055.png,2E56D1FF
56,Team 56,T56,056.png,E0281FFF
57,Team 57,T57,057.png,4BD87BFF
58,Team 58,T58,058.png,A73EE5FF
59,Team 59,T59,059.png,DED568FF
60,Team 60,T60,060.png,5DCBE9FF
61,Team 61,T61,061.png,D12E7EFF
62,Team 62,T62,062.png,45E01FFF
63,Team 63,T63,063.png,584BD8FF
64,Team 64,T64,064.png,E57E3EFF
65,Team 65,T65,065.png,68DEB8FF
66,Team 66,T66,066.png,E45DE9FF
67,Team 67,T67,067.png,A7D12EFF
68,Team 68,T68,068.png,1F76E0FF
69,Team 69,T69,069.png,D84B61FF
70,Team 70,T70,070.png,3EE554FF
71,Team 71,T71,071.png,9B68DEFF
72,Team 72,T72,072.png,E9C25DFF
73,Team 73,T73,073.png,2ED0D1FF
74,Team 74,T74,074.png,E01FA6FF
75,Team 75,T75,075.png,84D84BFF
76,Team 76,T76,076.png,3E51E5FF
77,Team 77,T77,077.png,DE7D68FF
78,Team 78,T78,078.png,5DE99FFF
79,Team 79,T79,079.png,AA2ED1FF
80,Team 80,T80,080.png,D6E01FFF
81,Team 81,T81,081.png,4BA7D8FF
82,Team 82,T82,082.png,E53E7BFF
83,Team 83,T83,083.png,71DE68FF
84,Team 84,T84,084.png,7C5DE9FF
85,Team 85,T85,085.png,D1812EFF
86,Team 86,T86,086.png,1FE0BAFF
87,Team 87,T87,087.png,D84BCAFF
88,Team 88,T88,088.png,A4E53EFF
89,Team 89,T89,089.png,688EDEFF
90,Team 90,T90,090.png,E95D62FF
91,Team 91,T91,091.png,2ED159FF
92,Team 92,T92,092.png,8A1FE0FF
93,Team 93,T93,093.png,D8C24BFF
94,Team 94,T94,094.png,3ECEE5FF
95,Team 95,T95,095.png,DE68ACFF
96,Team 96,T96,096.png,84E95DFF
97,Team 97,T97,097.png,302ED1FF
98,Team 98,T98,098.png,E05A1FFF
99,Team 99,T99,099.png,4BD89FFF
100,Team 100,T100,100.png,D23EE5FF
